Country,"	Date","	Conversion",Search,"	Average Time (s)","	Median Time (s)",Add,"	Average Time (s)","	Median Time (s)",Export,"	Is complete"
"	United Kingdom","	Feb 10",0.125,8,1291,111,5,944,944,1,True
"	United Kingdom","	Feb 11",0,12,194,67,5,0,0,0,True
"	United Kingdom","	Feb 12",0.076923077,13,65,34,5,1244,1244,1,True
"	United Kingdom","	Feb 13",0,7,108,25,4,0,0,0,True
"	United Kingdom","	Feb 14",0,5,130,130,2,0,0,0,True
"	United Kingdom","	Feb 15",0.142857143,7,1449,888,3,1579,1579,1,True
"	United Kingdom","	Feb 16",0.25,12,234,210,10,2007,992,3,False
"	United Kingdom","	Feb 17",0.2,10,212,108,6,16406,16406,2,False
"	United Kingdom","	Feb 18",0.076923077,13,228,55,6,680,680,1,False
"	Spain","	Total",0.015873016,126,1451,118,52,3460,3460,2,
"	Spain","	Jan 19",0,3,0,0,0,0,0,0,True
"	Spain","	Jan 20",0,5,524,524,1,0,0,0,True
"	Spain","	Jan 21",0,7,12389,16846,3,0,0,0,True
"	Spain","	Jan 22",0.166666667,6,7171,323,5,5882,5882,1,True
"	Spain","	Jan 23",0,1,63,63,1,0,0,0,True
"	Spain","	Jan 24",0,3,115,115,1,0,0,0,True
"	Spain","	Jan 25",0,0,0,0,0,0,0,0,True
"	Spain","	Jan 26",0.083333333,12,100,65,5,92,92,1,True
"	Spain","	Jan 27",0,4,73,73,1,0,0,0,True
"	Spain","	Jan 28",0,5,84,77,3,0,0,0,True
"	Spain","	Jan 29",0.166666667,6,160,54,3,1038,1038,1,True
"	Spain","	Jan 30",0,7,6477,6477,1,0,0,0,True
"	Spain","	Jan 31",0,0,0,0,0,0,0,0,True
"	Spain","	Feb 01",0,0,0,0,0,0,0,0,True
"	Spain","	Feb 02",0.066666667,15,225,53,7,166,166,1,True
"	Spain","	Feb 03",0,11,314,155,5,0,0,0,True
"	Spain","	Feb 04",0,10,590,75,6,0,0,0,True
"	Spain","	Feb 05",0,7,70,53,5,0,0,0,True
"	Spain","	Feb 06",0,7,411,411,2,0,0,0,True
"	Spain","	Feb 07",0,3,111,117,3,0,0,0,True
"	Spain","	Feb 08",0,0,0,0,0,0,0,0,True
"	Spain","	Feb 09",0.1,10,674,434,4,2381,2381,1,True
"	Spain","	Feb 10",0.111111111,9,29818,5208,5,1089,1089,1,True
"	Spain","	Feb 11",0.1,10,4189,104,6,246,246,1,True
"	Spain","	Feb 12",0,7,300,243,3,0,0,0,True
"	Spain","	Feb 13",0,9,871,871,2,0,0,0,True
"	Spain","	Feb 14",0,0,0,0,0,0,0,0,True
"	Spain","	Feb 15",0,5,0,0,0,0,0,0,True
"	Spain","	Feb 16",0,9,63,19,4,0,0,0,False
"	Spain","	Feb 17",0,6,182,182,2,0,0,0,False
"	Spain","	Feb 18",0,7,2918,1821,3,0,0,0,False
"	Bangladesh","	Total",0.018691589,107,1844,93,39,1373,1373,2,
"	Bangladesh","	Jan 19",0,6,162,162,1,0,0,0,True
"	Bangladesh","	Jan 20",0,9,11,11,1,0,0,0,True
"	Bangladesh","	Jan 21",0,5,58,58,1,0,0,0,True
"	Bangladesh","	Jan 22",0,6,37,37,1,0,0,0,True
"	Bangladesh","	Jan 23",0,4,3654,3654,1,0,0,0,True
"	Bangladesh","	Jan 24",0,3,379,379,1,0,0,0,True
"	Bangladesh","	Jan 25",0,3,312,402,3,0,0,0,True
"	Bangladesh","	Jan 26",0,1,0,0,0,0,0,0,True
"	Bangladesh","	Jan 27",0,7,703,703,2,0,0,0,True
"	Bangladesh","	Jan 28",0,4,151,151,1,0,0,0,True
"	Bangladesh","	Jan 29",0,4,189,189,2,0,0,0,True
"	Bangladesh","	Jan 30",0.2,5,405,405,2,520,520,1,True
"	Bangladesh","	Jan 31",0,0,0,0,0,0,0,0,True
"	Bangladesh","	Feb 01",0,4,31,31,2,0,0,0,True
"	Bangladesh","	Feb 02",0,4,30556,30556,2,0,0,0,True
"	Bangladesh","	Feb 03",0,3,77,125,3,0,0,0,True
"	Bangladesh","	Feb 04",0,2,0,0,0,0,0,0,True
"	Bangladesh","	Feb 05",0,5,63,63,2,0,0,0,True
"	Bangladesh","	Feb 06",0,2,0,0,0,0,0,0,True
"	Bangladesh","	Feb 07",0,1,18,18,1,0,0,0,True
"	Bangladesh","	Feb 08",0,4,58,58,1,0,0,0,True
"	Bangladesh","	Feb 09",0,5,223,253,3,0,0,0,True
"	Bangladesh","	Feb 10",0,5,522,522,2,0,0,0,True
"	Bangladesh","	Feb 11",0,4,40,44,3,0,0,0,True
"	Bangladesh","	Feb 12",0,0,0,0,0,0,0,0,True
"	Bangladesh","	Feb 13",1,1,261,261,1,2226,2226,1,True
"	Bangladesh","	Feb 14",0,8,52,52,2,0,0,0,True
"	Bangladesh","	Feb 15",0,6,129,129,2,0,0,0,True
"	Bangladesh","	Feb 16",0,5,486,486,2,0,0,0,False
"	Bangladesh","	Feb 17",0,0,0,0,0,0,0,0,False
"	Bangladesh","	Feb 18",0,1,0,0,0,0,0,0,False
"	France","	Total",0.057692308,104,1217,93,52,14984,1032,6,
"	France","	Jan 19",0,4,13940,13940,1,0,0,0,True
"	France","	Jan 20",0,8,843,843,2,0,0,0,True
"	France","	Jan 21",0.166666667,6,29,29,2,197,197,1,True
"	France","	Jan 22",0.25,4,234,234,2,4433,4433,1,True
"	France","	Jan 23",0,6,206,75,4,0,0,0,True
"	France","	Jan 24",0,1,0,0,0,0,0,0,True
"	France","	Jan 25",0,3,1614,1987,3,0,0,0,True
"	France","	Jan 26",0,8,272,345,3,0,0,0,True
"	France","	Jan 27",0.333333333,6,1337,1337,2,42328,42328,2,True
"	France","	Jan 28",0,5,438,438,2,0,0,0,True
"	France","	Jan 29",0,8,369,92,6,0,0,0,True
"	France","	Jan 30",0,4,81,81,1,0,0,0,True
"	France","	Jan 31",0,0,0,0,0,0,0,0,True
"	France","	Feb 01",0,4,45,45,1,0,0,0,True
"	France","	Feb 02",0.2,5,4413,4413,2,104,104,1,True
"	France","	Feb 03",0.222222222,9,211,50,7,414,414,2,True
"	France","	Feb 04",0.111111111,9,695,387,5,5434,5434,1,True
"	France","	Feb 05",0,3,81,81,2,0,0,0,True
"	France","	Feb 06",0,4,67,67,1,0,0,0,True
"	France","	Feb 07",0.333333333,3,44,44,1,130,130,1,True
"	France","	Feb 08",0,2,44,44,2,0,0,0,True
"	France","	Feb 09",0,3,87,92,3,0,0,0,True
"	France","	Feb 10",0.076923077,13,3101,21,8,516,516,1,True
"	France","	Feb 11",0,1,32,32,1,0,0,0,True
"	France","	Feb 12",0.2,5,6870,6870,2,115,115,1,True
"	France","	Feb 13",0,5,382,382,2,0,0,0,True
"	France","	Feb 14",0,0,0,0,0,0,0,0,True
"	France","	Feb 15",0,1,519,519,1,0,0,0,True
"	France","	Feb 16",0,4,40,48,3,0,0,0,False
"	France","	Feb 17",0.1,10,1386,102,7,2089,2089,1,False
"	France","	Feb 18",0,3,128,128,2,0,0,0,False
"	Poland","	Total",0.117021277,94,7755,89,39,23510,10846,11,
"	Poland","	Jan 19",0,0,0,0,0,0,0,0,True
"	Poland","	Jan 20",0,2,0,0,0,0,0,0,True
